Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
2016,Fall,CALS,A B E,102X,LEARNING COMMUNITIE,74,2,3
2017,Fall,CALS,A B E,102X,LEARNING COMMUNITIE,79,4,5
2015,Spring,CALS,A B E,110,EXPERNC AG&BIO ENGR,96,2,2
2016,Spring,CALS,A B E,110,EXPERNC AG&BIO ENGR,130,0,0
2017,Spring,CALS,A B E,110,EXPERNC AG&BIO ENGR,101,2,2
2018,Spring,CALS,A B E,110,EXPERNC AG&BIO ENGR,105,5,5
2014,Fall,CALS,A B E,160,SYST PROB SOLV&PROG,40,5,13
2015,Fall,CALS,A B E,160,SYST PROB SOLV&PROG,76,8,11
2015,Spring,CALS,A B E,160,SYST PROB SOLV&PROG,47,9,19
2016,Fall,CALS,A B E,160,SYST PROB SOLV&PROG,50,9,18
2016,Spring,CALS,A B E,160,SYST PROB SOLV&PROG,47,5,11
2017,Fall,CALS,A B E,160,SYST PROB SOLV&PROG,55,9,16
2017,Spring,CALS,A B E,160,SYST PROB SOLV&PROG,45,7,16
2018,Spring,CALS,A B E,160,SYST PROB SOLV&PROG,44,9,20
2014,Fall,CALS,A B E,170,ENG GRPHC&INTRO DSN,67,3,4
2015,Fall,CALS,A B E,170,ENG GRPHC&INTRO DSN,82,7,9
2015,Spring,CALS,A B E,170,ENG GRPHC&INTRO DSN,33,1,3
2016,Fall,CALS,A B E,170,ENG GRPHC&INTRO DSN,70,1,1
2016,Spring,CALS,A B E,170,ENG GRPHC&INTRO DSN,42,0,0
2017,Fall,CALS,A B E,170,ENG GRPHC&INTRO DSN,65,2,3
2017,Spring,CALS,A B E,170,ENG GRPHC&INTRO DSN,38,3,8
2018,Spring,CALS,A B E,170,ENG GRPHC&INTRO DSN,32,4,13
2014,Fall,CALS,A B E,201,SMNR:PREP FOR WRKPL,18,1,6
2015,Fall,CALS,A B E,201,SMNR:PREP FOR WRKPL,9,0,0
2015,Spring,CALS,A B E,201,SMNR:PREP FOR WRKPL,38,1,3
2016,Fall,CALS,A B E,201,SMNR:PREP FOR WRKPL,15,0,0
2016,Spring,CALS,A B E,201,SMNR:PREP FOR WRKPL,63,2,3
2017,Fall,CALS,A B E,201,SMNR:PREP FOR WRKPL,12,0,0
2017,Spring,CALS,A B E,201,SMNR:PREP FOR WRKPL,79,0,0
2018,Spring,CALS,A B E,201,SMNR:PREP FOR WRKPL,53,0,0
2014,Fall,CALS,A B E,216,FND AG &BIOSYS ENGR,55,5,9
2015,Fall,CALS,A B E,216,FND AG &BIOSYS ENGR,82,14,17
2016,Fall,CALS,A B E,216,FND AG &BIOSYS ENGR,113,15,13
2017,Fall,CALS,A B E,216,FND AG &BIOSYS ENGR,86,13,15
2015,Spring,CALS,A B E,218,PROJ MGT&DESIGN ABE,43,0,0
2016,Spring,CALS,A B E,218,PROJ MGT&DESIGN ABE,68,0,0
2017,Spring,CALS,A B E,218,PROJ MGT&DESIGN ABE,89,0,0
2018,Spring,CALS,A B E,218,PROJ MGT&DESIGN ABE,63,0,0
2014,Fall,CALS,A B E,271,PARAM SLD MODEL ENG,21,1,5
2015,Fall,CALS,A B E,271,PARAM SLD MODEL ENG,16,2,13
2015,Spring,CALS,A B E,271,PARAM SLD MODEL ENG,21,6,29
2016,Fall,CALS,A B E,271,PARAM SLD MODEL ENG,31,8,26
2016,Spring,CALS,A B E,271,PARAM SLD MODEL ENG,28,2,7
2017,Fall,CALS,A B E,271,PARAM SLD MODEL ENG,38,2,5
2017,Spring,CALS,A B E,271,PARAM SLD MODEL ENG,24,3,13
2018,Spring,CALS,A B E,271,PARAM SLD MODEL ENG,39,1,3
2014,Fall,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,21,4,19
2015,Fall,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,13,5,38
2015,Spring,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,27,6,22
2016,Fall,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,31,4,13
2016,Spring,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,26,2,8
2017,Fall,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,38,4,11
2017,Spring,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,27,4,15
2018,Spring,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,37,4,11
2016,Spring,CALS,A B E,273,CAD FACILT&LAND USE,13,1,8
2017,Fall,CALS,A B E,273,CAD FACILT&LAND USE,32,3,9
2017,Spring,CALS,A B E,273,CAD FACILT&LAND USE,23,0,0
2018,Spring,CALS,A B E,273,CAD FACILT&LAND USE,38,3,8
2015,Spring,CALS,A B E,273X,CAD FACILT&LAND USE,15,1,7
2014,Fall,CALS,A B E,316,APPLD NUMRCL METHDS,63,3,5
2015,Fall,CALS,A B E,316,APPLD NUMRCL METHDS,32,1,3
2016,Fall,CALS,A B E,316,APPLD NUMRCL METHDS,41,0,0
2016,Spring,CALS,A B E,316,APPLD NUMRCL METHDS,18,3,17
2017,Fall,CALS,A B E,316,APPLD NUMRCL METHDS,51,3,6
2017,Spring,CALS,A B E,316,APPLD NUMRCL METHDS,21,0,0
2018,Spring,CALS,A B E,316,APPLD NUMRCL METHDS,29,1,3
2014,Fall,CALS,A B E,325,BIORENEWABLE SYSTMS,22,1,5
2015,Fall,CALS,A B E,325,BIORENEWABLE SYSTMS,24,0,0
2016,Fall,CALS,A B E,325,BIORENEWABLE SYSTMS,19,1,5
2017,Fall,CALS,A B E,325,BIORENEWABLE SYSTMS,23,1,4
2014,Fall,CALS,A B E,340,ANALY&DS FIELD MACH,36,1,3
2015,Fall,CALS,A B E,340,ANALY&DS FIELD MACH,23,0,0
2016,Fall,CALS,A B E,340,ANALY&DS FIELD MACH,31,0,0
2017,Fall,CALS,A B E,340,ANALY&DS FIELD MACH,31,0,0
2015,Spring,CALS,A B E,342,AGRI TRACTOR POWER,38,0,0
2016,Spring,CALS,A B E,342,AGRI TRACTOR POWER,37,0,0
2017,Spring,CALS,A B E,342,AGRI TRACTOR POWER,36,0,0
2018,Spring,CALS,A B E,342,AGRI TRACTOR POWER,46,0,0
2014,Fall,CALS,A B E,363,ELEC POWR&ELECTRONC,66,3,5
2015,Fall,CALS,A B E,363,ELEC POWR&ELECTRONC,38,0,0
2016,Fall,CALS,A B E,363,ELEC POWR&ELECTRONC,51,1,2
2017,Fall,CALS,A B E,363,ELEC POWR&ELECTRONC,56,2,4
2017,Spring,CALS,A B E,363,ELEC POWR&ELECTRONC,18,0,0
2018,Spring,CALS,A B E,363,ELEC POWR&ELECTRONC,29,2,7
2015,Spring,CALS,A B E,380,PRIN BIOL SYS ENGNR,16,1,6
2016,Spring,CALS,A B E,380,PRIN BIOL SYS ENGNR,24,0,0
2017,Spring,CALS,A B E,380,PRIN BIOL SYS ENGNR,20,0,0
2018,Spring,CALS,A B E,380,PRIN BIOL SYS ENGNR,32,0,0
2014,Fall,CALS,A B E,388,SUSTNBL E&INT'L DEV,4,0,0
2015,Fall,CALS,A B E,388,SUSTNBL E&INT'L DEV,9,0,0
2016,Fall,CALS,A B E,388,SUSTNBL E&INT'L DEV,7,0,0
2017,Fall,CALS,A B E,388,SUSTNBL E&INT'L DEV,9,1,11
2015,Spring,CALS,A B E,403,MODEL&CNTRLS AG SYS,14,5,36
2017,Spring,CALS,A B E,403,MODEL&CNTRLS AG SYS,5,1,20
2014,Fall,CALS,A B E,404,A B E INSTRUMENTATN,37,2,5
2015,Fall,CALS,A B E,404,A B E INSTRUMENTATN,52,0,0
2016,Fall,CALS,A B E,404,A B E INSTRUMENTATN,39,1,3
